"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.9547","0.9547","0.9547","1.2798","1.3471","1.5413","1.5489","1.5536","1.6241","1.6397","2.093","1.932","1.9791","1.5707","1.4152","1.2973","1.4357","1.7727","1.5676","1.611","2.3069","1.512","1.4946","1.4652","1.8976","3.3215","2.9618","3.6265","2.8597","2.8478","3.0433","4.4292","4.7983","5.496","4.1179","4.7015","5.304","5.9968","7.0221","8.1674","9.1856","9.2336","10.2262","10.7941","10.5649","13.4478","15.3955","18.1645","17.0881","18.5703","18.014","19.4525","17.9423","20.1904","20.8272","",
"Bulgaria","BGR","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","9.6197","9.6197","9.5578","9.1366","9.1385","9.2415","8.6669","7.8211","10.4201","10.0563","11.2424","11.9779","12.4","12.1431","12.4771","15.4496","12.6676","12.6362","18.6379","18.1571","12.0882","8.8929","7.3788","6.3972","7.9086","9.0455","8.734","14.1132","11.3679","7.8475","7.9789","7.8663","7.4863","8.0874","7.9834","7.8187","7.9336","8.4077","6.11","3.4962","3.7089","3.6114","3.2713","3.2806","3.3396","3.6545","3.7121","4.3716","4.8173","4.582","4.4131","5.0165","4.6218","3.7797","3.7728","",
"Bahrain","BHR","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.4227","0.4227","0.5419","1.3819","2.0672","2.1401","2.1794","2.1771","2.1917","2.2489","2.0473","2.321","2.6486","2.5845","0","0.0026","0.0173","0.0242","0.0232","0.0254","0.0315","0.0295","0.0272","0.0296","0.0319","0.0449","0.0538","0.0705","0.0746","0.0759","0.0815","0.1258","0.1303","0.1179","0.137","0.1709","0.1933","0.2084","0.2391","0.295","0.724","0.787","1.0535","1.7392","2.2289","2.0877","2.1188","1.961","2.1663","2.1911","2.1166","2.2788","2.2399","2.2182","2.1619","",
"Bahamas, The","BHS","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.008","0.0079","0.0089","0.0074","0.0084","0.0094","0.0103","0.0108","0.0113","0.0103","0.0133","0.0163","0.0111","0.0103","0.0098","0.0097","0.0156","0.0166","0.0147","0.0214","0.0507","0.0419","0.0293","0.0275","0.0292","0.0359","0.0389","0.035","0.04","0.0379","0.0247","0.0286","0.0675","0.0423","0.0423","0.0343","0.0376","0.0402","0.033","0.0312","0.0392","0.0298","0.049","0.0527","0.0572","0.0586","0.0557","0.0979","0.0732","0.0761","0.0688","0.0989","0.0962","0.096","0.0997","",
"Bosnia and Herzegovina","BIH","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","4.7503","4.7503","4.3295","4.9994","5.3187","5.2133","4.3681","4.6857","4.6766","4.8446","4.6878","5.1919","4.9311","4.4426","4.5807","4.6449","5.0324","3.8379","3.6344","3.984","5.9064","5.7698","3.659","2.7243","0.6538","0.668","0.3473","0.5549","0.4602","0.4326","1.5044","1.3339","1.4903","0.3888","0.8093","1.0679","1.1332","1.2114","1.2764","1.3688","1.6087","1.7884","1.8097","2.2287","2.0126","2.1148","2.0485","2.1849","2.3908","2.2946","1.4083","1.6492","1.6012","1.2285","1.2013","",
"Belarus","BLR","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","7.6305","7.6305","8.1384","8.6339","9.063","9.3964","9.7683","10.1663","10.5554","10.9146","11.304","11.092","10.852","10.5804","10.3294","9.7715","9.8446","9.8375","9.8154","9.5665","8.3678","8.1478","5.4709","5.5179","4.1715","3.4059","3.8494","3.8654","4.4393","4.2543","3.2069","3.2574","3.2309","3.6048","3.9085","4.0267","3.9904","4.2658","4.5356","4.2434","4.6652","4.7587","5.117","5.2087","5.3307","4.4569","4.5057","4.6454","4.7588","4.8287","4.7003","4.5904","4.3415","4.2346","4.2164","",
"Belize","BLZ","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.0005","0.0005","0.0005","0.0004","0.0005","0.0005","0.0006","0.0006","0.0006","0.0006","0.0008","0.0008","0.0006","0.0008","0.0009","0.001","0.0019","0.0015","0.001","0.0019","0.0058","0.0061","0.0041","0.0037","0.0034","0.0041","0.0033","0.0051","0.0052","0.0057","0.0034","0.004","0.0087","0.0077","0.0065","0.0059","0.0059","0.0051","0.0039","0.0054","0.007","0.0051","0.0077","0.0098","0.0101","0.0128","0.0116","0.0201","0.0171","0.0208","0.0185","0.0225","0.0237","0.0252","0.0261","",
"Bermuda","BMU","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.0011","0.0011","0.0012","0.001","0.0011","0.0013","0.0014","0.0015","0.0015","0.0014","0.0018","0.0019","0.0016","0.002","0.0021","0.0023","0.0034","0.0047","0.0048","0.0073","0.0118","0.0098","0.0062","0.0064","0.006","0.0064","0.0064","0.0059","0.0059","0.0064","0.0037","0.0043","0.0103","0.009","0.0084","0.0074","0.008","0.0085","0.0068","0.0068","0.0095","0.0053","0.0085","0.0096","0.0137","0.0121","0.0139","0.0203","0.0182","0.0159","0.0126","0.0167","0.0176","0.0176","0.0183","",
"Bolivia","BOL","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.4212","0.4212","0.5015","0.4615","0.4969","0.6269","0.7077","0.5633","0.5505","0.4329","0.4025","0.5373","1.0946","1.314","0.9137","0.7099","0.5579","0.3833","0.433","0.5855","0.7644","0.7181","0.7277","0.757","0.8485","0.9359","0.8112","0.8877","0.9849","0.9984","0.8887","1.0698","1.24","1.1328","1.2806","1.2802","1.401","1.8218","1.7229","1.7526","1.7967","1.9935","2.1299","2.3558","2.4212","2.4022","2.3598","2.298","2.2532","2.3216","1.8411","2.0912","2.1339","2.3419","3.1415","",
"Brazil","BRA","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","24.5359","24.5359","26.5715","31.816","34.9418","37.488","43.879","47.9521","52.042","55.9763","56.616","44.8148","43.6687","39.48","38.5321","40.827","43.7481","48.6578","50.4197","49.8991","46.9123","50.3657","51.2181","53.4202","55.3033","59.2985","64.9803","68.8749","70.941","75.529","83.0858","80.9724","83.775","82.7126","85.2595","83.9331","84.161","93.2143","93.3293","83.78","98.0639","106.7004","102.8565","101.5761","98.6278","94.8113","85.2563","91.3319","88.3582","84.8072","78.5424","88.5644","89.224","85.491","84.6892","",
